Augmented_Smiles,Augmented_Selfies
O=C1C(c2ccc(C)cc2)=C(c2ccc(S(=O)(=O)C)cc2)CN1CCC,[O][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][Ring1][#Branch2][C][N][Ring2][Ring1][=Branch1][C][C][C]
Cc1ccc(C2=C(c3ccc(S(=O)(=O)C)cc3)CN(CCC)C2=O)cc1,[C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][Ring1][#Branch2][C][N][Branch1][Ring2][C][C][C][C][Ring2][Ring1][C][=O][C][=C][Ring2][Ring1][=Branch2]
c1c(C2=C(c3ccc(C)cc3)C(=O)N(CCC)C2)ccc(S(=O)(=O)C)c1,[C][=C][Branch2][Ring1][=N][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][C][C][Ring1][S][C][=C][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][Ring2][Ring1][#Branch2]
C(CN1C(=O)C(c2ccc(C)cc2)=C(c2ccc(S(=O)(=O)C)cc2)C1)C,[C][Branch2][Ring2][#C][C][N][C][=Branch1][C][=O][C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][Ring1][#Branch2][C][Ring2][Ring1][#Branch1][C]
c1c(S(=O)(C)=O)ccc(C2=C(c3ccc(C)cc3)C(=O)N(CCC)C2)c1,[C][=C][Branch1][=Branch2][S][=Branch1][C][=O][Branch1][C][C][=O][C][=C][C][Branch2][Ring1][=N][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][C][C][Ring1][S][=C][Ring2][Ring1][#Branch2]
CS(c1ccc(C2=C(c3ccc(C)cc3)C(=O)N(CCC)C2)cc1)(=O)=O,[C][S][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][=N][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][C][C][Ring1][S][C][=C][Ring2][Ring1][=Branch1][=Branch1][C][=O][=O]
CCCN1CC(c2ccc(S(C)(=O)=O)cc2)=C(c2ccc(C)cc2)C1=O,[C][C][C][N][C][C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][Ring2][Ring1][=Branch1][=O]
O=C1C(c2ccc(C)cc2)=C(c2ccc(S(=O)(C)=O)cc2)CN1CCC,[O][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][Branch1][C][C][=O][C][=C][Ring1][#Branch2][C][N][Ring2][Ring1][=Branch1][C][C][C]
c1c(C2=C(c3ccc(C)cc3)C(=O)N(CCC)C2)ccc(S(=O)(C)=O)c1,[C][=C][Branch2][Ring1][=N][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][C][C][Ring1][S][C][=C][C][Branch1][=Branch2][S][=Branch1][C][=O][Branch1][C][C][=O][=C][Ring2][Ring1][#Branch2]
C1(=O)N(CCC)CC(c2ccc(S(=O)(C)=O)cc2)=C1c1ccc(C)cc1,[C][=Branch1][C][=O][N][Branch1][Ring2][C][C][C][C][C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][Branch1][C][C][=O][C][=C][Ring1][#Branch2][=C][Ring2][Ring1][Ring1][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1]
c1c(CC(O)=O)c(Nc2c(Cl)cccc2F)ccc1C,[C][=C][Branch1][#Branch1][C][C][Branch1][C][O][=O][C][Branch1][=C][N][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][F][=C][C][=C][Ring2][Ring1][Ring1][C]
c1(Cl)cccc(F)c1Nc1c(CC(O)=O)cc(C)cc1,[C][Branch1][C][Cl][=C][C][=C][C][Branch1][C][F][=C][Ring1][Branch2][N][C][=C][Branch1][#Branch1][C][C][Branch1][C][O][=O][C][=C][Branch1][C][C][C][=C][Ring1][O]
Fc1c(Nc2ccc(C)cc2CC(=O)O)c(Cl)ccc1,[F][C][=C][Branch2][Ring1][Ring1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][C][=Branch1][C][=O][O][C][Branch1][C][Cl][=C][C][=C][Ring2][Ring1][Ring1]
c1(Nc2c(Cl)cccc2F)ccc(C)cc1CC(O)=O,[C][Branch1][=C][N][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][F][=C][C][=C][Branch1][C][C][C][=C][Ring1][S][C][C][Branch1][C][O][=O]
c1(F)cccc(Cl)c1Nc1c(CC(O)=O)cc(C)cc1,[C][Branch1][C][F][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][Branch2][N][C][=C][Branch1][#Branch1][C][C][Branch1][C][O][=O][C][=C][Branch1][C][C][C][=C][Ring1][O]
Clc1cccc(F)c1Nc1c(CC(=O)O)cc(C)cc1,[Cl][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][N][C][=C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][=C][Branch1][C][C][C][=C][Ring1][O]
c1cc(Nc2c(Cl)cccc2F)c(CC(O)=O)cc1C,[C][=C][C][Branch1][=C][N][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][F][=C][Branch1][#Branch1][C][C][Branch1][C][O][=O][C][=C][Ring2][Ring1][Ring1][C]
