"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1349";"VALACYCLOVIR";"VALACICLOVIR|VALACV|VALACYCLOVIR|VALTREX|Valacyclovir|ZELITREX";"Small molecule";"4";"324.34";"137";"805";"-0.80";"151.14";"9";"3";"0";"7";"N";"0.44";"11.99";"7.48";"-0.06";"-0.40";"2";"MOL";"0";"23";"10";"5";"0";"324.1546";"NEUTRAL";"C13H20N6O4";"CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21";"HDOVUKNUBWVHOX-QMMMGPOBSA-N"
"CHEMBL50";"QUERCETIN";"3'-HYDROXYKAEMPFEROL|C.I. 75670|C.I. Natural Red 1|CI-75670|CORVITIN|CYANIDENOLON 1522|KORVITIN|LDN 0052529|LDN-0052529|LIPOFLAVON|MELETIN|NSC 57655|NSC 9219|NSC-57655|NSC-9219|QUERCETIN|QUERCETINE|QUERCETOL|QUERTIN|QUERTINE|SOPHORETIN|XANTHAURINE";"Small molecule";"3";"302.24";"599";"2562";"1.99";"131.36";"7";"5";"0";"1";"N";"0.43";"6.38";"None";"2.16";"1.00";"3";"MOL";"0";"22";"7";"5";"0";"302.0427";"ACID";"C15H10O7";"O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12";"REFJWTPEDVJJIY-UHFFFAOYSA-N"
"CHEMBL742";"KETAMINE";"ANAKET V|CALYPSOL|CLORKETAM 1000|DL-KETAMINE|IMALGENE 1000|KETALAR|KETAMINE|KETASOL 100|Ketamine|NARKETAN|NSC-70151|PMI-150|TEKAM|URSOTAMIN|VETAKET";"Small molecule";"4";"237.73";"153";"784";"2.90";"29.10";"2";"1";"0";"2";"Y";"0.86";"None";"7.16";"3.35";"3.15";"1";"MOL";"0";"16";"2";"1";"0";"237.0920";"NEUTRAL";"C13H16ClNO";"CNC1(c2ccccc2Cl)CCCCC1=O";"YQEZLKZALYSWHR-UHFFFAOYSA-N"
"CHEMBL223824";"MOZENAVIR";"DMP-450|MOZENAVIR|Mozenavir";"Small molecule";"0";"536.68";"10";"37";"4.23";"116.05";"5";"4";"1";"8";"N";"0.25";"13.23";"4.44";"4.04";"4.04";"4";"MOL";"0";"40";"7";"6";"2";"536.2787";"NEUTRAL";"C33H36N4O3";"Nc1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1";"KYRSNWPSSXSNEP-ZRTHHSRSSA-N"
"CHEMBL192";"SILDENAFIL";"APHRODIL|HIP-0908|HIP0908|NIPATRA|PATREX|REVATIO|SILDENAFIL|SILDENAFIL ACTAVIS|SILDENAFIL RATIOPHARM|SILDENAFIL TEVA|Sildenafil|UK-92480|VIAGRA|VIZARSIN";"Small molecule";"4";"474.59";"190";"1554";"1.61";"113.42";"8";"1";"0";"7";"N";"0.55";"7.63";"5.98";"1.23";"1.16";"3";"MOL";"0";"33";"10";"1";"0";"474.2049";"NEUTRAL";"C22H30N6O4S";"CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12";"BNRNXUUZRGQAQC-UHFFFAOYSA-N"
"CHEMBL34259";"METHOTREXATE";"(R)-METHOTREXATE|ADX-2191|AMETHOPTERIN|Abitrexate|Amethopterin|CL 14377|CL-14377|D-AMETHOPTERIN|D-METHOTREXATE|EBETREX|EMT-25299|EMTEXATE HIGH-POT|EMTEXATE PF|Folex|MAXTREX|METHOTREXATE|METHOTREXATE, (R)-|METHOTREXATE, D-|METHOTREXATUM|METHYLAMINOPTERIN|METOJECT|Mexate|Mexate-AQ|NSC-740|OTREXUP|OTREXUP PFS|R-9985|R-METHOTREXATE|RASUVO|REDITREX|Rheumatrex|TCMDC-123832|TCMDC-125488|TCMDC-125858|Trexall|ZLATAL|methotrexate";"Small molecule";"4";"454.45";"914";"4001";"0.27";"210.54";"10";"5";"0";"9";"N";"0.29";"3.25";"2.80";"-0.24";"-6.56";"3";"MOL";"0";"33";"13";"7";"2";"454.1713";"ACID";"C20H22N8O5";"CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1";"FBOZXECLQNJBKD-ZDUSSCGKSA-N"
"CHEMBL1163";"ATAZANAVIR";"ATAZANAVIR|Atazanavir|BMS-232632|CGP-73547|REYATAZ";"Small molecule";"4";"704.87";"44";"794";"4.21";"171.22";"9";"5";"1";"14";"N";"0.15";"11.92";"4.42";"4.54";"4.54";"3";"MOL";"0";"51";"13";"5";"2";"704.3897";"NEUTRAL";"C38H52N6O7";"COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C";"AXRYRYVKAWYZBR-GASGPIRDSA-N"
"CHEMBL64391";"ITRACONAZOLE";"CANDISTAT|CANDITRAL|CLADOSAL 100|FUNGITRAXX|ITRAC|ITRACONAZOLE|ITRALEK|ITRAZOLE|ITRIZOLE|NSC-759239|ONMEL|ORUNGAL|R 51,211|R-51211|SEMPERA|SPHERAZOLE CR|SPHERAZOLE IR|SPORAMELT|SPORANOX I.V.|SPORANOX-PULSE|SPORONOX|Sporanos|Sporanox|TOLSURA|TRACONAL|TRIASPORIN";"Small molecule";"4";"705.65";"311";"3321";"5.58";"104.70";"12";"0";"3";"11";"N";"0.17";"None";"3.91";"7.31";"7.31";"5";"MOL";"0";"49";"12";"0";"3";"704.2393";"NEUTRAL";"C35H38Cl2N8O4";"CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O";"VHVPQPYKVGDNFY-UHFFFAOYSA-N"
"CHEMBL511142";"BUPRENORPHINE";"ALKS-5461 COMPONENT BUPRENORPHINE|BRIXADI|BUPEAZE|BUPLAST|BUPRENORPHIN|BUPRENORPHINE|BUTEC|BUTRANS|HAPOCTASIN|PANITAZ|PRENOTRIX|RELETRANS|SEVODYNE|SUBLOCADE|SUBOXONE|TEMGESIC|TEPHINE|TRANSTEC";"Small molecule";"4";"467.65";"47";"264";"4.41";"62.16";"5";"2";"0";"4";"N";"0.69";"10.42";"9.63";"3.55";"1.61";"1";"MOL";"0";"34";"5";"2";"0";"467.3036";"BASE";"C29H41NO4";"CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5";"RMRJXGBAOAMLHD-CTAPUXPBSA-N"
"CHEMBL115";"INDINAVIR";"CRIXIVAN|Crixivan|INDINAVIR|INDINAVIR ANHYDROUS|INDINAVIR MONOHYDRATE|INDINAVIR SYSTEM SUITABILITY|Indinavir|L-735524|MK-639";"Small molecule";"4";"613.80";"159";"1331";"2.87";"118.03";"7";"4";"1";"11";"N";"0.26";"13.01";"6.76";"2.81";"2.72";"3";"MOL";"0";"45";"9";"4";"1";"613.3628";"NEUTRAL";"C36H47N5O4";"CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O";"CBVCZFGXHXORBI-PXQQMZJSSA-N"
"CHEMBL1205";"NELFINAVIR MESYLATE";"AG-1343|AG1343|NELFINAVIR MESILATE|NELFINAVIR MESYLATE|NELFINAVIR METHANESULFONATE|NELFINAVIRI MESILAS|Viracept";"Small molecule";"4";"663.90";"49";"188";"4.75";"101.90";"6";"4";"1";"9";"N";"0.33";"9.32";"8.18";"4.72";"4.09";"2";"MOL";"0";"40";"7";"4";"1";"567.3131";"NEUTRAL";"C33H49N3O7S2";"CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C";"NQHXCOAXSHGTIA-SKXNDZRYSA-N"
