"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2023898";"DACLATASVIR";"BMS 790052|BMS-790052|DACLATASVIR|DAKLINZA|EBP 883|EBP-883";"Small molecule";"4";"738.89";"33";"249";"6.22";"174.64";"8";"4";"2";"11";"N";"0.14";"11.15";"6.09";"4.18";"4.16";"4";"MOL";"0";"54";"14";"4";"3";"738.3853";"NEUTRAL";"C40H50N8O6";"COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C";"FKRSSPOQAMALKA-CUPIEXAXSA-N"
"CHEMBL483";"TENOFOVIR";"Atripla|GS-1275|PMP-A|Tenofovir|Truvada";"Small molecule";"3";"287.22";"64";"563";"-0.05";"136.38";"7";"3";"0";"5";"N";"0.65";"1.35";"3.74";"-3.44";"-3.55";"2";"MOL";"0";"19";"9";"4";"0";"287.0783";"ACID";"C9H14N5O4P";"C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O";"SGOIRFVFHAKUTI-ZCFIWIBFSA-N"
"CHEMBL2181776";"BILB-1941";"BILB 1941|BILB-1941|BILB-1941ZW";"Small molecule";"1";"562.67";"26";"80";"6.29";"113.32";"5";"3";"2";"8";"N";"0.22";"3.48";"4.09";"5.31";"2.69";"4";"MOL";"0";"42";"8";"3";"2";"562.2580";"ACID";"C34H34N4O4";"Cn1c(-c2ccccn2)c(C2CCCC2)c2ccc(C(=O)NC3(C(=O)Nc4ccc(/C=C/C(=O)O)cc4)CCC3)cc21";"JBSNALXXNTWUEC-SFQUDFHCSA-N"
"CHEMBL431733";"NAMODENOSON";"CF-102|CF102|CHLORO-IB-MECA|CI-IB-MECA|CL-IB-MECA|NAMODENOSON";"Small molecule";"2";"544.74";"51";"227";"1.06";"134.42";"9";"4";"1";"5";"N";"0.28";"12.39";"1.96";"1.51";"1.51";"3";"MOL";"0";"30";"10";"4";"1";"544.0123";"NEUTRAL";"C18H18ClIN6O4";"CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O";"IPSYPUKKXMNCNQ-PFHKOEEOSA-N"
"CHEMBL1349";"VALACYCLOVIR";"VALACICLOVIR|VALACV|VALACYCLOVIR|VALTREX|Valacyclovir|ZELITREX";"Small molecule";"4";"324.34";"137";"805";"-0.80";"151.14";"9";"3";"0";"7";"N";"0.44";"11.99";"7.48";"-0.06";"-0.40";"2";"MOL";"0";"23";"10";"5";"0";"324.1546";"NEUTRAL";"C13H20N6O4";"CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21";"HDOVUKNUBWVHOX-QMMMGPOBSA-N"
"CHEMBL50";"QUERCETIN";"3'-HYDROXYKAEMPFEROL|C.I. 75670|C.I. Natural Red 1|CI-75670|CORVITIN|CYANIDENOLON 1522|KORVITIN|LDN 0052529|LDN-0052529|LIPOFLAVON|MELETIN|NSC 57655|NSC 9219|NSC-57655|NSC-9219|QUERCETIN|QUERCETINE|QUERCETOL|QUERTIN|QUERTINE|SOPHORETIN|XANTHAURINE";"Small molecule";"3";"302.24";"599";"2562";"1.99";"131.36";"7";"5";"0";"1";"N";"0.43";"6.38";"None";"2.16";"1.00";"3";"MOL";"0";"22";"7";"5";"0";"302.0427";"ACID";"C15H10O7";"O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12";"REFJWTPEDVJJIY-UHFFFAOYSA-N"
"CHEMBL490";"PAROXETINE";"(-)3S,4R-PAROXETINE|ARKETIS|AROTIN|BESITRAM|BRL 29060|BRL-29060|CASBOL|DAPAROX|FG-7051|FROSINOR|MOTIVAN|PAROGEN|PAROXETINE|PAXPAR|Paroxetine|Paxil|Paxil [as hydrochloride]|Pexeva|XETANOR";"Small molecule";"4";"329.37";"190";"1082";"3.33";"39.72";"4";"1";"0";"4";"N";"0.93";"None";"9.77";"3.15";"0.83";"2";"MOL";"0";"24";"4";"1";"0";"329.1427";"BASE";"C19H20FNO3";"Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1";"AHOUBRCZNHFOSL-YOEHRIQHSA-N"
"CHEMBL1016";"CANDESARTAN";"CANDESARTAN|CANDESARTAN CILEXETIL RELATED COMPOUND G|CV-11974|Candesartan|NSC-759858";"Small molecule";"3";"440.46";"135";"980";"4.03";"118.81";"7";"2";"0";"7";"N";"0.39";"3.44";"1.50";"4.68";"-0.30";"5";"MOL";"0";"33";"9";"2";"0";"440.1597";"ACID";"C24H20N6O3";"CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1";"HTQMVQVXFRQIKW-UHFFFAOYSA-N"
"CHEMBL1569";"AMANTADINE HYDROCHLORIDE";"ADAMANTANAMINE HYDROCHLORIDE|AMANTADINE HCL|AMANTADINE HYDROCHLORIDE|EXP-105-1|GOCOVRI|LYSOVIR|MANTADINE|MANTADIX|NSC-83653|OSMOLEX|OSMOLEX ER|Symadine|Symmetrel";"Small molecule";"4";"187.71";"41";"69";"1.91";"26.02";"1";"1";"0";"0";"Y";"0.56";"None";"10.71";"1.47";"-1.38";"0";"MOL";"0";"11";"1";"2";"0";"151.1361";"BASE";"C10H18ClN";"Cl.NC12CC3CC(CC(C3)C1)C2";"WOLHOYHSEKDWQH-UHFFFAOYSA-N"
"CHEMBL440498";"CTS-1027";"CTS-1027|RO-1130830|RS-130830";"Small molecule";"2";"425.89";"29";"103";"3.21";"101.93";"6";"2";"0";"6";"N";"0.54";"8.82";"None";"2.25";"2.24";"2";"MOL";"0";"28";"7";"2";"0";"425.0700";"NEUTRAL";"C19H20ClNO6S";"O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1";"ROSNVSQTEGHUKU-UHFFFAOYSA-N"
