"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL186537";"";"";"Small molecule";"0";"43.03";"13";"21";"0.88";"60.25";"1";"1";"0";"0";"N";"0.24";"5.09";"None";"0.08";"-0.15";"0";"MOL";"-1";"3";"3";"1";"0";"43.0170";"ACID";"HN3";"[N-]=[N+]=N";"JUINSXZKUKVTMD-UHFFFAOYSA-N"
"CHEMBL504535";"IMRECOXIB";"BAP-909|IMRECOXIB";"Small molecule";"1";"369.49";"4";"9";"3.56";"54.45";"3";"0";"0";"5";"N";"0.81";"13.51";"None";"3.21";"3.21";"2";"MOL";"0";"26";"4";"0";"0";"369.1399";"NEUTRAL";"C21H23NO3S";"CCCN1CC(c2ccc(S(C)(=O)=O)cc2)=C(c2ccc(C)cc2)C1=O";"AXMZZGKKZDJGAZ-UHFFFAOYSA-N"
"CHEMBL466585";"";"";"Small molecule";"0";"550.73";"5";"6";"3.30";"127.75";"6";"3";"1";"11";"N";"0.34";"9.90";"10.46";"2.16";"-1.60";"3";"MOL";"-1";"39";"8";"5";"1";"550.2614";"BASE";"C30H38N4O4S";"COc1ccc(-c2cccc(S(=O)(=O)NC(Cc3cccc(CN)c3)C(=O)N3CCC(CCN)CC3)c2)cc1";"VAZFEYPFKDVWTR-UHFFFAOYSA-N"
"CHEMBL404108";"LUMIRACOXIB";"COX-189|LUMIRACOXIB|PREXIGE";"Small molecule";"4";"293.73";"14";"61";"4.16";"49.33";"2";"2";"0";"4";"N";"0.89";"4.11";"None";"4.31";"1.22";"2";"MOL";"0";"20";"3";"2";"0";"293.0619";"ACID";"C15H13ClFNO2";"Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1";"KHPKQFYUPIUARC-UHFFFAOYSA-N"
"CHEMBL223824";"MOZENAVIR";"DMP-450|MOZENAVIR|Mozenavir";"Small molecule";"0";"536.68";"10";"37";"4.23";"116.05";"5";"4";"1";"8";"N";"0.25";"13.23";"4.44";"4.04";"4.04";"4";"MOL";"0";"40";"7";"6";"2";"536.2787";"NEUTRAL";"C33H36N4O3";"Nc1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1";"KYRSNWPSSXSNEP-ZRTHHSRSSA-N"
"CHEMBL122";"ROFECOXIB";"M01AH02|MK-0966|MK-966|MK0966|NSC-720256|NSC-758705|ROFECOXIB|TRM-201|Vioxx";"Small molecule";"4";"314.36";"212";"1529";"2.56";"60.44";"4";"0";"0";"3";"N";"0.82";"13.12";"None";"2.56";"2.56";"2";"MOL";"0";"22";"4";"0";"0";"314.0613";"NEUTRAL";"C17H14O4S";"CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1";"RZJQGNCSTQAWON-UHFFFAOYSA-N"
"CHEMBL1163";"ATAZANAVIR";"ATAZANAVIR|Atazanavir|BMS-232632|CGP-73547|REYATAZ";"Small molecule";"4";"704.87";"44";"794";"4.21";"171.22";"9";"5";"1";"14";"N";"0.15";"11.92";"4.42";"4.54";"4.54";"3";"MOL";"0";"51";"13";"5";"2";"704.3897";"NEUTRAL";"C38H52N6O7";"COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C";"AXRYRYVKAWYZBR-GASGPIRDSA-N"
"CHEMBL2170435";"";"";"Small molecule";"0";"385.22";"1";"5";"4.42";"87.14";"5";"3";"0";"5";"N";"0.60";"3.48";"5.33";"3.81";"1.92";"3";"MOL";"-1";"24";"6";"3";"0";"384.0222";"ACID";"C17H13BrN4O2";"O=C(O)c1ccc(Nc2nccc(Nc3ccccc3Br)n2)cc1";"NCXZWZMYZVWHNN-UHFFFAOYSA-N"
"CHEMBL115";"INDINAVIR";"CRIXIVAN|Crixivan|INDINAVIR|INDINAVIR ANHYDROUS|INDINAVIR MONOHYDRATE|INDINAVIR SYSTEM SUITABILITY|Indinavir|L-735524|MK-639";"Small molecule";"4";"613.80";"159";"1331";"2.87";"118.03";"7";"4";"1";"11";"N";"0.26";"13.01";"6.76";"2.81";"2.72";"3";"MOL";"0";"45";"9";"4";"1";"613.3628";"NEUTRAL";"C36H47N5O4";"CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O";"CBVCZFGXHXORBI-PXQQMZJSSA-N"
"CHEMBL1205";"NELFINAVIR MESYLATE";"AG-1343|AG1343|NELFINAVIR MESILATE|NELFINAVIR MESYLATE|NELFINAVIR METHANESULFONATE|NELFINAVIRI MESILAS|Viracept";"Small molecule";"4";"663.90";"49";"188";"4.75";"101.90";"6";"4";"1";"9";"N";"0.33";"9.32";"8.18";"4.72";"4.09";"2";"MOL";"0";"40";"7";"4";"1";"567.3131";"NEUTRAL";"C33H49N3O7S2";"CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C";"NQHXCOAXSHGTIA-SKXNDZRYSA-N"
