Augmented_Smiles,Augmented_Selfies,selfies_length
c1(C[C@H]2N(Cc3cccc(N)c3)C(=O)N(Cc3cc(N)ccc3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2O)ccccc1,[C][Branch2][Branch1][#Branch2][C][C@H1][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][S][O][=C][C][=C][C][=C][Ring2][Ring2][Branch2],69
c1cc(N)cc(CN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(Cc3cc(N)ccc3)C2=O)c1,[C][=C][C][Branch1][C][N][=C][C][Branch2][Branch1][#Branch1][C][N][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][Ring2][Ring1][#C][=O][=C][Ring2][Ring2][Branch2],69
c1c(C[C@H]2N(Cc3cc(N)ccc3)C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2O)cccc1,[C][=C][Branch2][Branch1][#Branch2][C][C@H1][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][S][O][C][=C][C][=C][Ring2][Ring2][Branch2],69
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(Cc2cc(N)ccc2)C(=O)N(Cc2cc(N)ccc2)[C@@H]1Cc1ccccc1,[O][C@@H1][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@@H1][Ring2][Ring1][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1],65
c1ccc(N)cc1CN1C(=O)N(Cc2cccc(N)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,[C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][C][N][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1],65
c1cc(N)cc(CN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(Cc3cccc(N)c3)C2=O)c1,[C][=C][C][Branch1][C][N][=C][C][Branch2][Branch1][#Branch1][C][N][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][Ring2][Ring1][#C][=O][=C][Ring2][Ring2][Branch2],69
C(c1cccc(N)c1)N1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(Cc2cc(N)ccc2)C1=O,[C][Branch1][N][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][N][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][Ring2][Ring1][#C][=O],67
c1ccccc1C[C@@H]1[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(Cc2cccc(N)c2)C(=O)N1Cc1cccc(N)c1,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][=Branch2][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1],65
c1c(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)cccc1N,[C][=C][Branch2][Branch1][#Branch1][C][N][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring2][#Branch1][N],67
C1(=O)N(Cc2cc(N)ccc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cc(N)ccc1,[C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][S][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1],67
